事業者,物件名,都道府県,住所,収容台数,円per時,最大料金_24時間,最大料金_夜間,緯度,経度,取得日時,URL
三井のリパーク,三井のリパーク本所２丁目第３駐車場,東京都,東京都墨田区本所２丁目２０ー３,7,660,1400,500,35.704844414056,139.80200041347,2026-06-30T08:56:44.265Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0014085
三井のリパーク,三井のリパーク福島駅前駐車場,福島県,福島県福島市陣場町１－２４－８,15,300,,,37.756533705466,140.46142617514,2026-06-30T08:56:44.265Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0002746
三井のリパーク,三井のリパーク世田谷４丁目駐車場,東京都,東京都世田谷区世田谷４丁目６,5,600,,,35.642923434362,139.65299063985,2026-06-30T08:56:44.265Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0004934
NPC,NPC24H深川2丁目パーキング,東京都,東京都江東区深川2-23-5,8,660,2300,600,35.67690663,139.7997233,2026-06-30T08:56:44.265Z,https://parking.npc-npc.co.jp/p/13/685
NPC,NPC24H亀戸第5パーキング,東京都,東京都江東区亀戸1-35-10,6,880,,700,35.69565422,139.824899,2026-06-30T08:56:44.265Z,https://parking.npc-npc.co.jp/p/13/685
NPC,NPC24H永代1丁目パーキング,東京都,東京都江東区永代1-7-6,19,660,2200,500,35.67428345,139.7887337,2026-06-30T08:56:44.265Z,https://parking.npc-npc.co.jp/p/13/685
NPC,NPC24H東陽2丁目サスセンタービル地下駐車場,東京都,東京都江東区東陽2-4-24,31,1100,,500,35.66823962,139.8172634,2026-06-30T08:56:44.265Z,https://parking.npc-npc.co.jp/p/13/685
NPC,NPC24H東陽5丁目パーキング,東京都,東京都江東区東陽5-3-8,17,880,1700,600,35.67145559,139.811143,2026-06-30T08:56:44.265Z,https://parking.npc-npc.co.jp/p/13/685
NPC,NPC24H森下4丁目第2パーキング,東京都,東京都江東区森下4-19,0,528,1700,500,35.68673539,139.8047616,2026-06-30T08:56:44.265Z,https://parking.npc-npc.co.jp/p/13/685
NPC,NPC24H亀戸第6パーキング,東京都,東京都江東区亀戸2-40-4,2,660,,600,35.70060392,139.823464,2026-06-30T08:56:44.265Z,https://parking.npc-npc.co.jp/p/13/685
NPC,NPC24H亀戸第7パーキング,東京都,東京都江東区亀戸4-19-1,3,528,,,35.701926,139.825596,2026-06-30T08:56:44.265Z,https://parking.npc-npc.co.jp/p/13/685
NPC,NPC24H東陽3丁目パーキング,東京都,東京都江東区東陽3-26-6,4,880,2300,,35.67066868,139.8134285,2026-06-30T08:56:44.265Z,https://parking.npc-npc.co.jp/p/13/685
NPC,NPC24H岡山南中央町パーキング,岡山県,岡山県岡山市北区南中央町2-15,17,200,,700,34.65598681,133.9260038,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/33/1484
NPC,NPC24H岡山西島田町パーキング,岡山県,岡山県岡山市北区西島田町3,81,200,500,,34.65709789,133.9100736,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/33/1484
NPC,NPC24H倉敷鶴形1丁目パーキング,岡山県,岡山県倉敷市鶴形1-3,11,300,,800,34.60148153,133.76965945,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/33/1488
NPC,NPC24H鳥取駅前パーキング,鳥取県,鳥取県鳥取市永楽温泉町272番地,208,220,800,,35.49385564,134.2287392,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/31/1443
NPC,NPC24H JR姫路駅東第1パーキング,兵庫県,兵庫県姫路市市之郷,37,200,600,,34.82543202,134.70130259,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1331
NPC,NPC24H JR姫路駅東第2パーキング,兵庫県,兵庫県姫路市市之郷,8,200,500,,34.82508122,134.70225478,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1331
NPC,NPC24Hひめじ別所パーキング,兵庫県,兵庫県姫路市別所町別所795-1,19,110,400,,34.80607001,134.7526589,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1331
NPC,NPC24H高松駅前パーキング,香川県,香川県高松市西の丸町9番,53,300,1600,500,34.34912469,134.0482153,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/37/1592
NPC,加古川市営駐車場,兵庫県,兵庫県加古川市加古川町北在家2002,432,,600,,34.75606728,134.83992731,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1340
NPC,NPC24H福山駅前パーキング,広島県,広島県福山市延広町1-30,395,,1000,,34.4864458,133.3639981,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/34/1528
NPC,NPC24H福山駅前第2パーキング,広島県,広島県福山市東桜町1-1,195,300,1300,,34.48753288,133.3623956,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/34/1528
NPC,NPC24H土山パーキング,兵庫県,兵庫県明石市二見町西二見2042,32,200,600,400,34.71813069,134.8899371,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1333
NPC,NPC24H明石魚住パーキング,兵庫県,兵庫県明石市魚住町中尾600-4,40,300,700,,34.69514405,134.906909,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1333
NPC,NPC24H西明石駅前第2パーキング,兵庫県,兵庫県明石市西明石南町2丁目7-21,8,300,900,500,34.66548862,134.9602093,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1333
NPC,NPC24H西明石駅前第3パーキング,兵庫県,兵庫県明石市西明石南町2丁目12-3,7,400,,300,34.665056,134.960028,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1333
NPC,NPC24H明石小久保パーキング,兵庫県,兵庫県明石市小久保1丁目3-2,10,200,800,300,34.66831788,134.9621029,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1333
NPC,NPC24H明石市松の内パーキング,兵庫県,兵庫県明石市松の内1-10-4,19,400,900,400,34.66581954,134.9652009,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1333
NPC,NPC24H大明石町第2パーキング,兵庫県,兵庫県明石市大明石町1-9,20,400,1000,500,34.64884723,134.9893132,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1333
NPC,NPC24H大明石町パーキング,兵庫県,兵庫県明石市大明石町1-8,30,400,,600,34.64824834,134.9894077,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1333
NPC,NPC24H明石本町パーキング,兵庫県,兵庫県明石市本町2丁目4-15,17,600,1000,,34.6469996,134.9893998,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1333
NPC,NPC24H垂水旭が丘3丁目パーキング,兵庫県,兵庫県神戸市垂水区旭が丘3-10,9,300,600,300,34.63856235,135.05129869,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1327
NPC,NPC24H垂水上高丸2丁目パーキング,兵庫県,兵庫県神戸市垂水区上高丸2-1-1,8,300,600,400,34.64276642,135.05396301,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1327
NPC,NPC24H コーナン福知山店第1パーキング,京都,京都府福知山市駅前町352,74,100,,,35.29673305,135.120317,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/26/1220
NPC,NPC24H コーナン福知山店第2パーキング,京都,京都府福知山市駅前町352,297,100,400,,35.29636745,135.1216547,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/26/1220
NPC,NPC24H福原パーキング,兵庫県,兵庫県神戸市兵庫区福原町16,19,600,900,,34.67908095,135.1698312,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1324
NPC,NPC24H三田相生橋パーキング,兵庫県,兵庫県三田市三田町2-3,6,200,,,34.8844492,135.2280754,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1348
NPC,NPC24H神戸元町通3丁目パーキング,兵庫県,兵庫県神戸市中央区元町通3-9,2,1800,,500,34.68831718,135.18593306,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1329
NPC,NPC24H磯上通パーキング,兵庫県,兵庫県神戸市中央区磯上通4-2-5,22,1200,1500,800,34.6933088,135.2000029,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1329
NPC,NPC24H鶴甲3丁目パーキング,兵庫県,兵庫県神戸市灘区鶴甲3-12-20,6,600,1200,,34.73426576,135.2316397,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1323
NPC,NPC24H魚崎北町6丁目パーキング,兵庫県,兵庫県神戸市東灘区魚崎北町6-2-1,9,300,700,400,34.71836059,135.27414025,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1322
NPC,NPC24H深江駅北パーキング,兵庫県,兵庫県神戸市東灘区深江北町3-3-12,9,660,,400,34.72323048,135.2919572,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1322
NPC,NPC24H芦屋東山町パーキング,兵庫県,兵庫県芦屋市東山町4,19,600,700,300,34.74030272,135.31023845,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1336
NPC,NPC24HJR西宮駅前パーキング,兵庫県,兵庫県西宮市池田町9-6,6,600,,600,34.73865307,135.34747688,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1334
NPC,NPC24H コーナン武庫川店パーキング,兵庫県,兵庫県西宮市池開町1,84,100,1000,,34.7185064,135.376357,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1334
NPC,NPC24Hコーナン武庫川店第4パーキング,兵庫県,兵庫県西宮市池開町1番20号,14,200,1200,,34.71862681,135.3764699,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1334
NPC,NPC24H武庫川第2パーキング,兵庫県,兵庫県西宮市池開町3,55,100,1300,,34.71877222,135.3767519,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1334
NPC,NPC24Hトライアル武庫川店パーキング,兵庫県,兵庫県西宮市池開町2-28,72,200,1800,,34.71815089,135.3773947,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1334
NPC,NPC24H武庫川第3パーキング,兵庫県,兵庫県西宮市池開町3,11,300,1300,,34.71805885,135.3777203,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1334
NPC,NPC24H上田東町パーキング,兵庫県,兵庫県西宮市上田東町4-11,28,300,500,300,34.70692856,135.3753305,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1334
NPC,NPC24Hビッグボックス川西パーキング,兵庫県,兵庫県川西市中央町3-12,618,300,800,,34.8288995,135.4160752,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1346
NPC,NPC24H阪急稲野駅前パーキング,兵庫県,兵庫県伊丹市稲野町3-21,9,400,800,300,34.76417517,135.41522928,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1337
NPC,NPC24H塚口駅北第1パーキング,兵庫県,兵庫県尼崎市塚口町1-19-5,21,400,1000,300,34.75428552,135.4129259,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1332
NPC,NPC24H塚口駅北第2パーキング,兵庫県,兵庫県尼崎市塚口町1-16,15,400,1000,400,34.75506729,135.41349405,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1332
NPC,NPC24H出屋敷パーキング,兵庫県,兵庫県尼崎市宮内町2-37,20,400,1000,,34.71885318,135.4056599,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1332
NPC,NPC24H和歌山大学前駅パーキング,和歌山県,和歌山県和歌山市中573-5南西,41,200,500,,34.2750066,135.145751,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/30/1412
NPC,NPC24H上坂部3丁目パーキング,兵庫県,兵庫県尼崎市上坂部3-35,7,330,700,500,34.74812551,135.42966859,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1332
NPC,NPC24H尼崎神崎町パーキング,兵庫県,兵庫県尼崎市神崎町39-3,7,400,800,400,34.74151718,135.4485376,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/28/1332
NPC,NPC24Hりんくうタウンパーキング,大阪府,大阪府泉佐野市松原3-4,143,200,500,,34.40706319,135.2995513,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1290
NPC,NPC24Hりんくうタウン第3パーキング,大阪府,大阪府泉佐野市りんくう往来北1-9,351,200,700,,34.41020744,135.3027334,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1290
NPC,NPC24H築港4丁目パーキング,大阪府,大阪府大阪市港区築港4丁目2,9,600,800,,34.6537713,135.431578,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1251
NPC,NPC24H築港2丁目パーキング,大阪府,大阪府大阪市港区築港2-8-28、8-29,9,400,700,,34.65243558,135.43127906,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1251
NPC,NPC24Hコーナン御幣島店パーキング,大阪府,大阪府大阪市西淀川区御幣島2-11-35,103,,500,,34.71451258,135.4523634,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1255
NPC,NPC24H姫島5丁目パーキング,大阪府,大阪府大阪市西淀川区姫島5-10,11,300,800,400,34.7037344,135.45149244,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1255
NPC,NPC24H橋丁パーキング,和歌山県,和歌山県和歌山市橋丁18,11,200,,300,34.2341293,135.1692111,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/30/1412
NPC,NPC24H和歌山十二番丁パーキング,和歌山県,和歌山県和歌山市十二番丁47,34,200,1000,,34.23186526,135.1717308,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/30/1412
NPC,NPC24H和歌山北新5丁目パーキング,和歌山県,和歌山県和歌山市北新5-43,25,300,,600,34.23681122,135.17756624,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/30/1412
NPC,NPC24H庄内西町パーキング,大阪府,大阪府豊中市庄内西町3-10-20,23,300,600,,34.747542,135.473798,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1280
NPC,NPC24H庄内パーキング,大阪府,大阪府豊中市庄内東町1-3-12　「シティー・ホール庄内」,113,,700,300,34.75175772,135.4760244,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1280
NPC,箕面市立箕面船場駐車場,大阪府,大阪府箕面市船場東3丁目10番1号,112,,300,500,34.82233777,135.4921262,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1297
NPC,NPC24H三先1丁目パーキング,大阪府,大阪府大阪市港区三先1-9,8,400,600,,34.66116328,135.45462565,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1251
NPC,NPC24Hコーナン弁天町店パーキング,大阪府,大阪府大阪市港区弁天1-2-24,84,,1300,,34.66910531,135.4597161,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1251
NPC,NPC24Hライフ弁天町店パーキング,大阪府,大阪府大阪市港区磯路1-9-1,73,400,1000,,34.66729781,135.460735,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1251
NPC,NPC24Hパラッツォ大阪三国店パーキング,大阪府,大阪府大阪市淀川区十八条2丁目17-14,424,200,500,,34.74891442,135.48910907,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1265
NPC,NPC24H市岡1丁目第3パーキング,大阪府,大阪府大阪市港区市岡1丁目21-2,22,440,,400,34.66204707,135.4626662,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1251
NPC,NPC24H市岡1丁目パーキング,大阪府,大阪府大阪市港区市岡1丁目2-19付近,21,440,800,400,34.66322794,135.4636679,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1251
NPC,NPC24H市岡1丁目第4パーキング,大阪府,大阪府大阪市港区市岡3丁目1,15,440,800,,34.66364211,135.464014,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1251
NPC,NPC24H岸和田蛸地蔵パーキング,大阪府,大阪府岸和田市南町5-16,16,110,300,,34.45603228,135.3668309,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1279
NPC,NPC24Hライフ緑地公園店パーキング,大阪府,大阪府吹田市江坂町4-15,106,300,600,,34.76864335,135.49661588,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1282
NPC,NPC24H熊取駅前パーキング,大阪府,大阪府泉南郡熊取町大久保中2-14-4,36,110,500,300,34.40488203,135.3425877,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1314
NPC,NPC24H京町堀3丁目パーキング,大阪府,大阪府大阪市西区京町堀3-4-10,23,600,,300,34.68397585,135.48774341,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1250
NPC,NPC24H新大阪東口パーキング,大阪府,大阪府大阪市東淀川区東中島1-20-16,554,800,1900,,34.73397743,135.5034655,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1256
NPC,NPC24H ONE DOJIMAパーキング,大阪府,大阪府大阪市北区堂島2-4-5,14,900,,,34.69626436,135.49352901,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1269
NPC,NPC24H南吹田駅前パーキング,大阪府,大阪府吹田市南吹田1-20,36,220,600,300,34.74978638,135.5104162,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1282
NPC,NPC24H立葉パーキング,大阪府,大阪府大阪市浪速区立葉1-2-23,8,400,1300,800,34.66530883,135.4871574,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1254
NPC,NPC24H豊崎2丁目パーキング,大阪府,大阪府大阪市北区豊崎2丁目2-10,12,880,1800,500,34.71012106,135.5020209,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1269
NPC,NPC24H中崎町第1パーキング,大阪府,大阪府大阪市北区中崎西3丁目3-18,39,880,1800,,34.7079404,135.501754,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1269
NPC,NPC24H中崎町第2パーキング,大阪府,大阪府大阪市北区中崎西3丁目3-14,26,880,1800,,34.70761186,135.5017071,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1269
NPC,NPC24H阿波座1丁目パーキング,大阪府,大阪府大阪市西区阿波座1-15-20,2,1200,,,34.68065735,135.4936779,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1250
NPC,NPC24H北堀江2丁目パーキング,大阪府,大阪府大阪市西区北堀江2丁目5-12,20,1200,1500,500,34.67288087,135.49140739,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1250
NPC,NPC24H桜川パーキング,大阪府,大阪府大阪市浪速区幸町2-2-36,58,600,,700,34.6692015,135.4905869,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1254
NPC,NPC24H桜川駅前パーキング,大阪府,大阪府大阪市浪速区桜川2-2-10,123,400,1200,,34.6675932,135.49035328,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1254
NPC,NPC24H桜川2丁目パーキング,大阪府,大阪府大阪市浪速区桜川2-1-10,6,400,,600,34.66763633,135.49096688,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1254
NPC,NPC24H堂山町パーキング,大阪府,大阪府大阪市北区堂山町9-19,41,900,,,34.70358962,135.5039928,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1269
NPC,NPC24H北堀江第2パーキング,大阪府,大阪府大阪市西区北堀江1-10-6,24,1200,,,34.6737232,135.4953822,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1250
NPC,NPC24H北堀江第1パーキング,大阪府,大阪府大阪市西区北堀江1-10-6,32,1200,,,34.67374526,135.4958248,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1250
NPC,NPC24H住之江公園駅前第3パーキング,大阪府,大阪府大阪市住之江区新北島1-4-21東側,17,400,700,400,34.60625404,135.4713525,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1267
NPC,NPC24H道修町3丁目パーキング,大阪府,大阪府大阪市中央区道修町3-7,6,2400,,300,34.68883594,135.50161862,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1270
NPC,NPC24H西成松3丁目第2パーキング,大阪府,大阪府大阪市西成区松3-12-1,7,300,600,,34.64204735,135.4865974,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1264
NPC,NPC24H西成松3丁目パーキング,大阪府,大阪府大阪市西成区松3-12-11,8,300,600,,34.64113653,135.4866518,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1264
NPC,NPC24H住之江公園駅前第2パーキング,大阪府,大阪府大阪市住之江区南加賀屋2-51,38,300,800,300,34.60741483,135.4738419,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1267
NPC,NPC24H大阪法宴会館パーキング,大阪府,大阪府大阪市北区本庄東1-1-36,41,660,1200,600,34.7116847,135.51048845,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1269
NPC,NPC24H西心斎橋第2パーキング,大阪府,大阪府大阪市中央区西心斎橋1-11-3,306,200,,800,34.67437689,135.4992763,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1270
NPC,NPC24H西心斎橋第1パーキング,大阪府,大阪府大阪市中央区西心斎橋1丁目9-7,307,200,,800,34.67283084,135.4989248,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1270
NPC,NPC24Hライフ加賀屋店パーキング,大阪府,大阪府大阪市住之江区中加賀屋4-6-28,39,200,600,,34.61468417,135.47988427,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1267
NPC,NPC24H西天満パーキング,大阪府,大阪府大阪市北区西天満3-30,10,900,2000,300,34.69517716,135.5087371,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1269
NPC,NPC24H大国町パーキング,大阪府,大阪府大阪市浪速区敷津西2-1-14,6,600,1300,900,34.656166,135.4973,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1254
NPC,NPC24H堺三宝町パーキング,大阪府,大阪府堺市堺区三宝町4丁271,14,400,800,500,34.59411612,135.47504785,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1272
NPC,NPC24H天満4丁目パーキング,大阪府,大阪府大阪市北区天満4-12-17,21,400,1800,400,34.695088,135.513788,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1269
NPC,NPC24H島之内第6パーキング,大阪府,大阪府大阪市中央区島之内1-16-15,6,800,1700,,34.67439628,135.5073505,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1270
NPC,NPC24H島之内第2パーキング,大阪府,大阪府大阪市中央区島之内1-15-20,11,800,1500,,34.67390838,135.5073442,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1270
NPC,NPC24H日本橋西パーキング,大阪府,大阪府大阪市浪速区日本橋西1丁目2-2,14,990,1200,,34.66083145,135.5038944,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1254
NPC,NPC24H材木町パーキング,大阪府,大阪府大阪市中央区材木町2-20,8,600,,600,34.679788,135.511426,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1270
NPC,NPC24H宿院パーキング,大阪府,大阪府堺市堺区大町東1丁1-5,20,200,1000,400,34.57651598,135.4723074,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1272
NPC,NPC24H松屋町住吉パーキング,大阪府,大阪府大阪市中央区松屋町住吉5-21,5,600,,600,34.678994,135.511394,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1270
NPC,NPC24H島之内第7パーキング,大阪府,大阪府大阪市中央区島之内1-3-14,12,600,,,34.672005,135.509678,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1270
NPC,NPC24H農人橋パーキング,大阪府,大阪府大阪市中央区農人橋2-2-2,12,1200,1800,800,34.68050044,135.5130034,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1270
NPC,NPC24H島之内第5パーキング,大阪府,大阪府大阪市中央区島之内1-2-7,10,440,1500,,34.67239279,135.5104798,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1270
NPC,NPC24H太子一丁目第1パーキング,大阪府,大阪府大阪市西成区太子1-3-13,3,440,1500,,34.648253,135.503508,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1264
NPC,NPC24H通天閣パーキング,大阪府,大阪府大阪市浪速区恵美須東2丁目2-5,33,600,,400,34.6521915,135.5069427,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1254
NPC,NPC24H堺翁橋パーキング,大阪府,大阪府堺市堺区翁橋町1-4-18付近,15,400,900,,34.57390713,135.4784775,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1272
NPC,NPC24H堺市役所南パーキング,大阪府,大阪府堺市堺区新町5-7付近,11,600,1300,,34.57295572,135.4822999,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1272
NPC,NPC24H堺市役所南第3パーキング,大阪府,大阪府堺市堺区一条通19-21,29,440,1000,400,34.57226569,135.4820829,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1272
NPC,NPC24H空清町パーキング,大阪府,大阪府大阪市天王寺区空清町6-13,5,400,800,400,34.6723078,135.52344119,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1253
NPC,NPC24H堺西永山園パーキング,大阪府,大阪府堺市堺区西永山園1,13,100,500,300,34.56913261,135.48411667,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1272
NPC,NPC24H阿倍野筋2丁目パーキング,大阪府,大阪府大阪市阿倍野区阿倍野筋2-2-23,10,660,,500,34.64278571,135.5135176,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1261
NPC,NPC24H京橋駅前パーキング,大阪府,大阪府大阪市都島区東野田町5-3,171,600,1200,,34.69911883,135.5347747,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1247
NPC,NPC24Hサンガスタジアム前パーキング,京都,京都府亀岡市亀岡駅北1丁目5-19、5-20、5- 21,28,,300,,35.01797882,135.5815323,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/26/1225
NPC,NPC24H南三国ヶ丘町パーキング,大阪府,大阪府堺市堺区南三国ヶ丘町3-4-17付近,22,200,600,400,34.57242142,135.4900556,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1272
NPC,NPC24H国分町パーキング,大阪府,大阪府大阪市天王寺区国分町9-12,7,800,1700,500,34.651745,135.52316,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/27/1253
NPC,NPC24H亀岡駅前パーキング,京都,京都府亀岡市古世町西内坪20,99,110,500,,35.01503566,135.5845468,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/26/1225
